station_id,station_name,station_lat,station_lon,Number,Name,Latitude,Longitude,District,Public,Total docks,ox_nearest_node_id
328,Grove St at Community Path,42.396386809455,-71.12011306006025,S32019,Grove St at Community Path,42.396386809455,-71.12011306006025,Somerville,Yes,15,7852905833
100,Davis Square,42.396969,-71.123024,S32006,Davis Square,42.396969,-71.123024,Somerville,Yes,25,7900108430
111,Packard Ave at Powderhouse Blvd,42.40449,-71.123413,S32009,Packard Ave at Powderhouse Blvd,42.40449,-71.123413,Somerville,Yes,15,61173055
377,Perry Park,42.37927324600841,-71.10341902831351,S32034,Perry Park,42.37927324600841,-71.10341902831351,Somerville,Yes,19,61182536
234,Broadway at Central St,42.39517150121575,-71.09850591982195,S32016,Broadway at Central St,42.39517150121575,-71.09850591982195,Somerville,Yes,15,71936894
77,Somerville City Hall,42.386844,-71.09812,S32001,Somerville City Hall,42.386844,-71.09812,Somerville,Yes,19,1853566393
378,191 Beacon St,42.38032335045416,-71.10878612855231,S32035,191 Beacon St,42.38032335045416,-71.10878612855231,Somerville,Yes,19,61327042
71,Conway Park - Somerville Avenue,42.383405,-71.107593,S32004,Conway Park - Somerville Avenue,42.383405,-71.107593,Somerville,Yes,23,944779111
102,Powder House Circle - Nathan Tufts Park,42.400877,-71.116772,S32008,Powder House Circle - Nathan Tufts Park,42.400877,-71.116772,Somerville,Yes,15,3449234018
239,Community Path at Cedar Street,42.39407223665884,-71.11133694648743,S32022,Community Path at Cedar Street,42.39407223665884,-71.11133694648743,Somerville,Yes,15,958887911
330,30 Dane St,42.38100143038052,-71.10402522613185,S32023,30 Dane St,42.38100143038052,-71.10402522613185,Somerville,Yes,15,1028653949
235,East Somerville Library (Broadway and Illinois),42.3876281075134,-71.08318716287613,S32017,East Somerville Library (Broadway and Illinois),42.3876281075134,-71.08318716287613,Somerville,Yes,15,1043831390
99,Wilson Square,42.38567578752914,-71.11412136298895,S32005,Wilson Square,42.38567578752914,-71.11412136298895,Somerville,Yes,15,5458392911
408,Edgerly Education Center,42.38717463348314,-71.08714388528824,S32038,Edgerly Education Center,42.38717463348314,-71.08714388528824,Somerville,Yes,15,71927775
188,Foss Park,42.39108438146733,-71.09039425849915,S32015,Foss Park,42.39108438146733,-71.09039425849915,Somerville,Yes,15,61171906
236,Assembly Square T,42.39223284004628,-71.07746601104736,S32018,Assembly Square T,42.39223284004628,-71.07746601104736,Somerville,Yes,15,4507679076
194,Broadway St at Mt Pleasant St,42.38614141163957,-71.07828140258789,S32014,Broadway St at Mt Pleasant St,42.38614141163957,-71.07828140258789,Somerville,Yes,19,3612528978
112,Clarendon Hill at Broadway,42.406302,-71.132446,S32010,Clarendon Hill at Broadway,42.406302,-71.132446,Somerville,Yes,0,5645284800
409,Elm St at White St,42.38952436305763,-71.11694140364307,S32039,Elm St at White St,42.38952436305763,-71.11694140364307,Somerville,Yes,0,61178192
406,Somerville City Hall Annex,42.39189811591863,-71.09745375830244,S32036,Somerville City Hall Annex,42.39189811591863,-71.09745375830244,Somerville,Yes,0,61170597
137,Magoun Square at Trum Field,42.39778339961249,-71.10594004465383,S32013,Magoun Square at Trum Field,42.39778339961249,-71.10594004465383,Somerville,Yes,15,71927403
114,Teele Square,42.40231703379005,-71.12671129423688,S32011,Teele Square,42.40231703379005,-71.12671129423688,Somerville,Yes,0,71944823
487,Community Path at Lowell St,42.392525,-71.105587,S32040,Community Path at Lowell St,42.392525,-71.105587,Somerville,Yes,19,5275902376
78,Union Square - Somerville,42.379584,-71.095236,S32002,Union Square - Somerville,42.379584,-71.095236,Somerville,Yes,19,5458227622
497,Washington St @ New Washington St (Temp Winter Station),42.381056,-71.087083,S32043,Washington St @ New Washington St (Temp Winter Station),42.381056,-71.087083,Somerville,Yes,15,61182503
496,Trum Field @ Cedar St (Temp Winter Station),42.398444,-71.107833,S32042,Trum Field @ Cedar St (Temp Winter Station),42.398444,-71.107833,Somerville,Yes,15,61175833
495,Union Square East (Temp Winter Station),42.380078,-71.090098,S32041,Union Square East (Temp Winter Station),42.380078,-71.090098,Somerville,Yes,19,582013686
498,Broadway Opposite Norwood Ave  (Temp Winter Station),42.396764,-71.102376,S32044,Broadway Opposite Norwood Ave  (Temp Winter Station),42.396764,-71.102376,Somerville,Yes,15,61172567
499,Conway Park @ Bleachery Ct (Temp Winter Station),42.3836409294306,-71.10868692398071,S32045,Conway Park @ Bleachery Ct (Temp Winter Station),42.3836409294306,-71.10868692398071,Somerville,Yes,19,71939920
